시도,시군구,연도,월,사망자수
서울,동대문구,2020년,10월,2.0
서울,동대문구,2020년,11월,2.0
서울,동대문구,2020년,12월,1.0
서울,성북구,2018년,01월,0.0
서울,성북구,2018년,02월,2.0
서울,성북구,2018년,03월,1.0
서울,성북구,2018년,04월,1.0
서울,성북구,2018년,05월,0.0
서울,성북구,2018년,06월,2.0
서울,성북구,2018년,07월,0.0
서울,성북구,2018년,08월,2.0
서울,성북구,2018년,09월,1.0
서울,성북구,2018년,10월,3.0
서울,성북구,2018년,11월,0.0
서울,성북구,2018년,12월,2.0
서울,성북구,2019년,01월,0.0
서울,성북구,2019년,02월,2.0
서울,성북구,2019년,03월,0.0
서울,성북구,2019년,04월,1.0
서울,성북구,2019년,05월,1.0
서울,성북구,2019년,06월,1.0
서울,성북구,2019년,07월,0.0
서울,성북구,2019년,08월,0.0
서울,성북구,2019년,09월,0.0
서울,성북구,2019년,10월,0.0
서울,성북구,2019년,11월,1.0
서울,성북구,2019년,12월,2.0
서울,성북구,2020년,01월,0.0
서울,성북구,2020년,02월,1.0
서울,성북구,2020년,03월,1.0
서울,성북구,2020년,04월,0.0
서울,성북구,2020년,05월,2.0
서울,성북구,2020년,06월,0.0
서울,성북구,2020년,07월,0.0
서울,성북구,2020년,08월,0.0
서울,성북구,2020년,09월,1.0
서울,성북구,2020년,10월,1.0
서울,성북구,2020년,11월,1.0
서울,성북구,2020년,12월,0.0
서울,도봉구,2018년,01월,0.0
서울,도봉구,2018년,02월,1.0
서울,도봉구,2018년,03월,0.0
서울,도봉구,2018년,04월,0.0
서울,도봉구,2018년,05월,1.0
서울,도봉구,2018년,06월,1.0
서울,도봉구,2018년,07월,1.0
서울,도봉구,2018년,08월,0.0
서울,도봉구,2018년,09월,0.0
서울,도봉구,2018년,10월,2.0
서울,도봉구,2018년,11월,0.0
서울,도봉구,2018년,12월,0.0
서울,도봉구,2019년,01월,3.0
서울,도봉구,2019년,02월,0.0
서울,도봉구,2019년,03월,0.0
서울,도봉구,2019년,04월,0.0
서울,도봉구,2019년,05월,0.0
서울,도봉구,2019년,06월,0.0
서울,도봉구,2019년,07월,0.0
서울,도봉구,2019년,08월,1.0
서울,도봉구,2019년,09월,0.0
서울,도봉구,2019년,10월,0.0
서울,도봉구,2019년,11월,0.0
서울,도봉구,2019년,12월,0.0
서울,도봉구,2020년,01월,0.0
서울,도봉구,2020년,02월,0.0
서울,도봉구,2020년,03월,1.0
서울,도봉구,2020년,04월,0.0
서울,도봉구,2020년,05월,0.0
서울,도봉구,2020년,06월,0.0
서울,도봉구,2020년,07월,2.0
서울,도봉구,2020년,08월,0.0
서울,도봉구,2020년,09월,0.0
서울,도봉구,2020년,10월,1.0
서울,도봉구,2020년,11월,0.0
서울,도봉구,2020년,12월,3.0
서울,은평구,2018년,01월,1.0
서울,은평구,2018년,02월,1.0
서울,은평구,2018년,03월,1.0
서울,은평구,2018년,04월,1.0
서울,은평구,2018년,05월,0.0
서울,은평구,2018년,06월,0.0
서울,은평구,2018년,07월,1.0
서울,은평구,2018년,08월,1.0
서울,은평구,2018년,09월,3.0
서울,은평구,2018년,10월,1.0
서울,은평구,2018년,11월,0.0
서울,은평구,2018년,12월,2.0
서울,은평구,2019년,01월,1.0
서울,은평구,2019년,02월,0.0
서울,은평구,2019년,03월,1.0
서울,은평구,2019년,04월,0.0
서울,은평구,2019년,05월,1.0
서울,은평구,2019년,06월,0.0
서울,은평구,2019년,07월,0.0
서울,은평구,2019년,08월,2.0
서울,은평구,2019년,09월,0.0
서울,은평구,2019년,10월,1.0
서울,은평구,2019년,11월,0.0
서울,은평구,2019년,12월,1.0
서울,은평구,2020년,01월,1.0
서울,은평구,2020년,02월,2.0
서울,은평구,2020년,03월,0.0
서울,은평구,2020년,04월,0.0
서울,은평구,2020년,05월,0.0
서울,은평구,2020년,06월,3.0
서울,은평구,2020년,07월,1.0
서울,은평구,2020년,08월,2.0
서울,은평구,2020년,09월,3.0
서울,은평구,2020년,10월,0.0
서울,은평구,2020년,11월,1.0
서울,은평구,2020년,12월,1.0
서울,서대문구,2018년,01월,0.0
서울,서대문구,2018년,02월,1.0
서울,서대문구,2018년,03월,0.0
서울,서대문구,2018년,04월,2.0
서울,서대문구,2018년,05월,2.0
서울,서대문구,2018년,06월,0.0
서울,서대문구,2018년,07월,0.0
서울,서대문구,2018년,08월,0.0
서울,서대문구,2018년,09월,0.0
서울,서대문구,2018년,10월,0.0
서울,서대문구,2018년,11월,0.0
서울,서대문구,2018년,12월,0.0
서울,서대문구,2019년,01월,0.0
서울,서대문구,2019년,02월,0.0
서울,서대문구,2019년,03월,1.0
서울,서대문구,2019년,04월,1.0
서울,서대문구,2019년,05월,1.0
서울,서대문구,2019년,06월,1.0
서울,서대문구,2019년,07월,1.0
서울,서대문구,2019년,08월,2.0
서울,서대문구,2019년,09월,3.0
서울,서대문구,2019년,10월,2.0
서울,서대문구,2019년,11월,1.0
서울,서대문구,2019년,12월,1.0
서울,서대문구,2020년,01월,0.0
서울,서대문구,2020년,02월,1.0
서울,서대문구,2020년,03월,0.0
서울,서대문구,2020년,04월,0.0
서울,서대문구,2020년,05월,1.0
서울,서대문구,2020년,06월,0.0
서울,서대문구,2020년,07월,0.0
서울,서대문구,2020년,08월,1.0
서울,서대문구,2020년,09월,3.0
서울,서대문구,2020년,10월,0.0
서울,서대문구,2020년,11월,0.0
서울,서대문구,2020년,12월,0.0
서울,마포구,2018년,01월,0.0
서울,마포구,2018년,02월,1.0
서울,마포구,2018년,03월,1.0
서울,마포구,2018년,04월,1.0
서울,마포구,2018년,05월,3.0
서울,마포구,2018년,06월,0.0
서울,마포구,2018년,07월,0.0
서울,마포구,2018년,08월,2.0
서울,마포구,2018년,09월,0.0
서울,마포구,2018년,10월,2.0
서울,마포구,2018년,11월,1.0
서울,마포구,2018년,12월,0.0
서울,마포구,2019년,01월,0.0
서울,마포구,2019년,02월,1.0
서울,마포구,2019년,03월,0.0
서울,마포구,2019년,04월,0.0
서울,마포구,2019년,05월,2.0
서울,마포구,2019년,06월,0.0
서울,마포구,2019년,07월,1.0
서울,마포구,2019년,08월,0.0
서울,마포구,2019년,09월,1.0
서울,마포구,2019년,10월,0.0
서울,마포구,2019년,11월,0.0
서울,마포구,2019년,12월,2.0
서울,마포구,2020년,01월,2.0
서울,마포구,2020년,02월,2.0
서울,마포구,2020년,03월,0.0
서울,마포구,2020년,04월,0.0
서울,마포구,2020년,05월,2.0
서울,마포구,2020년,06월,0.0
서울,마포구,2020년,07월,1.0
서울,마포구,2020년,08월,1.0
서울,마포구,2020년,09월,2.0
서울,마포구,2020년,10월,1.0
서울,마포구,2020년,11월,0.0
서울,마포구,2020년,12월,2.0
서울,강서구,2018년,01월,3.0
서울,강서구,2018년,02월,0.0
서울,강서구,2018년,03월,0.0
서울,강서구,2018년,04월,0.0
서울,강서구,2018년,05월,1.0
서울,강서구,2018년,06월,2.0
서울,강서구,2018년,07월,0.0
서울,강서구,2018년,08월,2.0
서울,강서구,2018년,09월,1.0
서울,강서구,2018년,10월,0.0
서울,강서구,2018년,11월,0.0
서울,강서구,2018년,12월,2.0
서울,강서구,2019년,01월,1.0
서울,강서구,2019년,02월,0.0
서울,강서구,2019년,03월,2.0
서울,강서구,2019년,04월,2.0
서울,강서구,2019년,05월,5.0
서울,강서구,2019년,06월,1.0
서울,강서구,2019년,07월,0.0
서울,강서구,2019년,08월,1.0
서울,강서구,2019년,09월,1.0
서울,강서구,2019년,10월,4.0
서울,강서구,2019년,11월,1.0
서울,강서구,2019년,12월,2.0
서울,강서구,2020년,01월,2.0
서울,강서구,2020년,02월,1.0
서울,강서구,2020년,03월,2.0
서울,강서구,2020년,04월,1.0
서울,강서구,2020년,05월,3.0
서울,강서구,2020년,06월,2.0
서울,강서구,2020년,07월,1.0
서울,강서구,2020년,08월,2.0
서울,강서구,2020년,09월,1.0
서울,강서구,2020년,10월,2.0
서울,강서구,2020년,11월,0.0
서울,강서구,2020년,12월,0.0
서울,구로구,2018년,01월,3.0
서울,구로구,2018년,02월,1.0
서울,구로구,2018년,03월,0.0
서울,구로구,2018년,04월,1.0
서울,구로구,2018년,05월,0.0
서울,구로구,2018년,06월,0.0
서울,구로구,2018년,07월,1.0
서울,구로구,2018년,08월,1.0
서울,구로구,2018년,09월,1.0
서울,구로구,2018년,10월,0.0
서울,구로구,2018년,11월,2.0
서울,구로구,2018년,12월,3.0
서울,구로구,2019년,01월,5.0
서울,구로구,2019년,02월,2.0
서울,구로구,2019년,03월,0.0
서울,구로구,2019년,04월,0.0
서울,구로구,2019년,05월,0.0
서울,구로구,2019년,06월,2.0
서울,구로구,2019년,07월,0.0
서울,구로구,2019년,08월,1.0
서울,구로구,2019년,09월,0.0
서울,구로구,2019년,10월,1.0
서울,구로구,2019년,11월,1.0
서울,구로구,2019년,12월,1.0
서울,구로구,2020년,01월,1.0
서울,구로구,2020년,02월,1.0
서울,구로구,2020년,03월,0.0
서울,구로구,2020년,04월,1.0
서울,구로구,2020년,05월,0.0
서울,구로구,2020년,06월,0.0
서울,구로구,2020년,07월,2.0
서울,구로구,2020년,08월,1.0
서울,구로구,2020년,09월,0.0
서울,구로구,2020년,10월,0.0
서울,구로구,2020년,11월,2.0
서울,구로구,2020년,12월,2.0
서울,영등포구,2018년,01월,2.0
서울,영등포구,2018년,02월,3.0
서울,영등포구,2018년,03월,2.0
서울,영등포구,2018년,04월,1.0
서울,영등포구,2018년,05월,2.0
서울,영등포구,2018년,06월,1.0
서울,영등포구,2018년,07월,2.0
서울,영등포구,2018년,08월,3.0
서울,영등포구,2018년,09월,1.0
서울,영등포구,2018년,10월,3.0
서울,영등포구,2018년,11월,2.0
서울,영등포구,2018년,12월,0.0
서울,영등포구,2019년,01월,0.0
서울,영등포구,2019년,02월,2.0
서울,영등포구,2019년,03월,1.0
서울,영등포구,2019년,04월,1.0
서울,영등포구,2019년,05월,0.0
서울,영등포구,2019년,06월,2.0
서울,영등포구,2019년,07월,1.0
서울,영등포구,2019년,08월,1.0
서울,영등포구,2019년,09월,0.0
서울,영등포구,2019년,10월,2.0
서울,영등포구,2019년,11월,1.0
서울,영등포구,2019년,12월,0.0
서울,영등포구,2020년,01월,1.0
서울,영등포구,2020년,02월,1.0
서울,영등포구,2020년,03월,1.0
서울,영등포구,2020년,04월,1.0
서울,영등포구,2020년,05월,0.0
서울,영등포구,2020년,06월,2.0
서울,영등포구,2020년,07월,0.0
서울,영등포구,2020년,08월,1.0
서울,영등포구,2020년,09월,0.0
서울,영등포구,2020년,10월,0.0
서울,영등포구,2020년,11월,0.0
서울,영등포구,2020년,12월,0.0
서울,동작구,2018년,01월,1.0
서울,동작구,2018년,02월,2.0
서울,동작구,2018년,03월,0.0
서울,동작구,2018년,04월,3.0
서울,동작구,2018년,05월,1.0
서울,동작구,2018년,06월,1.0
서울,동작구,2018년,07월,1.0
서울,동작구,2018년,08월,0.0
서울,동작구,2018년,09월,0.0
서울,동작구,2018년,10월,0.0
서울,동작구,2018년,11월,0.0
서울,동작구,2018년,12월,0.0
서울,동작구,2019년,01월,1.0
서울,동작구,2019년,02월,0.0
서울,동작구,2019년,03월,1.0
서울,동작구,2019년,04월,1.0
서울,동작구,2019년,05월,0.0
서울,동작구,2019년,06월,0.0
서울,동작구,2019년,07월,0.0
서울,동작구,2019년,08월,0.0
서울,동작구,2019년,09월,2.0
서울,동작구,2019년,10월,0.0
서울,동작구,2019년,11월,0.0
서울,동작구,2019년,12월,0.0
서울,동작구,2020년,01월,0.0
서울,동작구,2020년,02월,0.0
서울,동작구,2020년,03월,2.0
서울,동작구,2020년,04월,0.0
서울,동작구,2020년,05월,1.0
서울,동작구,2020년,06월,1.0
서울,동작구,2020년,07월,0.0
서울,동작구,2020년,08월,2.0
서울,동작구,2020년,09월,1.0
서울,동작구,2020년,10월,1.0
서울,동작구,2020년,11월,2.0
서울,동작구,2020년,12월,0.0
서울,관악구,2018년,01월,1.0
서울,관악구,2018년,02월,0.0
서울,관악구,2018년,03월,2.0
서울,관악구,2018년,04월,0.0
서울,관악구,2018년,05월,0.0
서울,관악구,2018년,06월,0.0
서울,관악구,2018년,07월,0.0
서울,관악구,2018년,08월,3.0
서울,관악구,2018년,09월,1.0
서울,관악구,2018년,10월,0.0
서울,관악구,2018년,11월,0.0
서울,관악구,2018년,12월,1.0
서울,관악구,2019년,01월,0.0
서울,관악구,2019년,02월,0.0
서울,관악구,2019년,03월,2.0
서울,관악구,2019년,04월,1.0
서울,관악구,2019년,05월,0.0
서울,관악구,2019년,06월,0.0
서울,관악구,2019년,07월,0.0
서울,관악구,2019년,08월,0.0
서울,관악구,2019년,09월,1.0
서울,관악구,2019년,10월,1.0
서울,관악구,2019년,11월,1.0
서울,관악구,2019년,12월,4.0
서울,관악구,2020년,01월,0.0
서울,관악구,2020년,02월,2.0
서울,관악구,2020년,03월,1.0
서울,관악구,2020년,04월,1.0
서울,관악구,2020년,05월,0.0
서울,관악구,2020년,06월,1.0
서울,관악구,2020년,07월,1.0
서울,관악구,2020년,08월,1.0
서울,관악구,2020년,09월,1.0
서울,관악구,2020년,10월,1.0
서울,관악구,2020년,11월,2.0
서울,관악구,2020년,12월,2.0
서울,강남구,2018년,01월,1.0
서울,강남구,2018년,02월,1.0
서울,강남구,2018년,03월,3.0
서울,강남구,2018년,04월,1.0
서울,강남구,2018년,05월,0.0
서울,강남구,2018년,06월,0.0
서울,강남구,2018년,07월,2.0
서울,강남구,2018년,08월,3.0
서울,강남구,2018년,09월,2.0
서울,강남구,2018년,10월,2.0
서울,강남구,2018년,11월,2.0
서울,강남구,2018년,12월,3.0
서울,강남구,2019년,01월,2.0
서울,강남구,2019년,02월,3.0
서울,강남구,2019년,03월,2.0
서울,강남구,2019년,04월,0.0
서울,강남구,2019년,05월,0.0
서울,강남구,2019년,06월,1.0
서울,강남구,2019년,07월,0.0
서울,강남구,2019년,08월,1.0
서울,강남구,2019년,09월,0.0
서울,강남구,2019년,10월,2.0
서울,강남구,2019년,11월,2.0
서울,강남구,2019년,12월,1.0
서울,강남구,2020년,01월,3.0
서울,강남구,2020년,02월,2.0
서울,강남구,2020년,03월,1.0
서울,강남구,2020년,04월,3.0
서울,강남구,2020년,05월,3.0
서울,강남구,2020년,06월,0.0
서울,강남구,2020년,07월,0.0
서울,강남구,2020년,08월,1.0
서울,강남구,2020년,09월,0.0
서울,강남구,2020년,10월,2.0
서울,강남구,2020년,11월,2.0
서울,강남구,2020년,12월,0.0
서울,강동구,2018년,01월,1.0
서울,강동구,2018년,02월,1.0
서울,강동구,2018년,03월,2.0
서울,강동구,2018년,04월,2.0
서울,강동구,2018년,05월,1.0
서울,강동구,2018년,06월,0.0
서울,강동구,2018년,07월,2.0
서울,강동구,2018년,08월,0.0
서울,강동구,2018년,09월,0.0
서울,강동구,2018년,10월,0.0
서울,강동구,2018년,11월,3.0
서울,강동구,2018년,12월,0.0
서울,강동구,2019년,01월,1.0
서울,강동구,2019년,02월,0.0
서울,강동구,2019년,03월,0.0
서울,강동구,2019년,04월,0.0
서울,강동구,2019년,05월,1.0
서울,강동구,2019년,06월,1.0
서울,강동구,2019년,07월,2.0
서울,강동구,2019년,08월,2.0
서울,강동구,2019년,09월,2.0
서울,강동구,2019년,10월,1.0
서울,강동구,2019년,11월,0.0
서울,강동구,2019년,12월,1.0
서울,강동구,2020년,01월,0.0
서울,강동구,2020년,02월,1.0
서울,강동구,2020년,03월,0.0
서울,강동구,2020년,04월,1.0
서울,강동구,2020년,05월,0.0
서울,강동구,2020년,06월,0.0
서울,강동구,2020년,07월,0.0
서울,강동구,2020년,08월,1.0
서울,강동구,2020년,09월,2.0
서울,강동구,2020년,10월,1.0
서울,강동구,2020년,11월,0.0
서울,강동구,2020년,12월,1.0
서울,송파구,2018년,01월,4.0
서울,송파구,2018년,02월,2.0
서울,송파구,2018년,03월,2.0
서울,송파구,2018년,04월,4.0
서울,송파구,2018년,05월,2.0
서울,송파구,2018년,06월,2.0
서울,송파구,2018년,07월,5.0
서울,송파구,2018년,08월,2.0
서울,송파구,2018년,09월,0.0
서울,송파구,2018년,10월,1.0
서울,송파구,2018년,11월,3.0
서울,송파구,2018년,12월,0.0
서울,송파구,2019년,01월,0.0
서울,송파구,2019년,02월,2.0
서울,송파구,2019년,03월,0.0
서울,송파구,2019년,04월,0.0
서울,송파구,2019년,05월,3.0
서울,송파구,2019년,06월,0.0
서울,송파구,2019년,07월,1.0
서울,송파구,2019년,08월,1.0
서울,송파구,2019년,09월,0.0
서울,송파구,2019년,10월,3.0
서울,송파구,2019년,11월,3.0
서울,송파구,2019년,12월,0.0
서울,송파구,2020년,01월,1.0
서울,송파구,2020년,02월,1.0
서울,송파구,2020년,03월,1.0
서울,송파구,2020년,04월,3.0
서울,송파구,2020년,05월,0.0
서울,송파구,2020년,06월,0.0
서울,송파구,2020년,07월,1.0
서울,송파구,2020년,08월,0.0
서울,송파구,2020년,09월,2.0
서울,송파구,2020년,10월,2.0
서울,송파구,2020년,11월,0.0
서울,송파구,2020년,12월,0.0
서울,서초구,2018년,01월,1.0
서울,서초구,2018년,02월,2.0
서울,서초구,2018년,03월,1.0
서울,서초구,2018년,04월,1.0
서울,서초구,2018년,05월,3.0
서울,서초구,2018년,06월,0.0
서울,서초구,2018년,07월,1.0
서울,서초구,2018년,08월,1.0
서울,서초구,2018년,09월,4.0
서울,서초구,2018년,10월,0.0
