시도,시군구,연도,월,사망자수
서울,서초구,2018년,11월,2.0
서울,서초구,2018년,12월,2.0
서울,서초구,2019년,01월,0.0
서울,서초구,2019년,02월,0.0
서울,서초구,2019년,03월,0.0
서울,서초구,2019년,04월,0.0
서울,서초구,2019년,05월,2.0
서울,서초구,2019년,06월,1.0
서울,서초구,2019년,07월,2.0
서울,서초구,2019년,08월,0.0
서울,서초구,2019년,09월,3.0
서울,서초구,2019년,10월,1.0
서울,서초구,2019년,11월,2.0
서울,서초구,2019년,12월,3.0
서울,서초구,2020년,01월,3.0
서울,서초구,2020년,02월,0.0
서울,서초구,2020년,03월,2.0
서울,서초구,2020년,04월,0.0
서울,서초구,2020년,05월,0.0
서울,서초구,2020년,06월,2.0
서울,서초구,2020년,07월,1.0
서울,서초구,2020년,08월,0.0
서울,서초구,2020년,09월,0.0
서울,서초구,2020년,10월,1.0
서울,서초구,2020년,11월,0.0
서울,서초구,2020년,12월,0.0
서울,양천구,2018년,01월,0.0
서울,양천구,2018년,02월,1.0
서울,양천구,2018년,03월,1.0
서울,양천구,2018년,04월,0.0
서울,양천구,2018년,05월,1.0
서울,양천구,2018년,06월,1.0
서울,양천구,2018년,07월,1.0
서울,양천구,2018년,08월,0.0
서울,양천구,2018년,09월,1.0
서울,양천구,2018년,10월,1.0
서울,양천구,2018년,11월,3.0
서울,양천구,2018년,12월,1.0
서울,양천구,2019년,01월,1.0
서울,양천구,2019년,02월,0.0
서울,양천구,2019년,03월,0.0
서울,양천구,2019년,04월,3.0
서울,양천구,2019년,05월,1.0
서울,양천구,2019년,06월,1.0
서울,양천구,2019년,07월,0.0
서울,양천구,2019년,08월,2.0
서울,양천구,2019년,09월,1.0
서울,양천구,2019년,10월,1.0
서울,양천구,2019년,11월,0.0
서울,양천구,2019년,12월,1.0
서울,양천구,2020년,01월,1.0
서울,양천구,2020년,02월,2.0
서울,양천구,2020년,03월,0.0
서울,양천구,2020년,04월,0.0
서울,양천구,2020년,05월,1.0
서울,양천구,2020년,06월,0.0
서울,양천구,2020년,07월,1.0
서울,양천구,2020년,08월,0.0
서울,양천구,2020년,09월,0.0
서울,양천구,2020년,10월,1.0
서울,양천구,2020년,11월,1.0
서울,양천구,2020년,12월,0.0
서울,중랑구,2018년,01월,1.0
서울,중랑구,2018년,02월,1.0
서울,중랑구,2018년,03월,3.0
서울,중랑구,2018년,04월,0.0
서울,중랑구,2018년,05월,1.0
서울,중랑구,2018년,06월,0.0
서울,중랑구,2018년,07월,0.0
서울,중랑구,2018년,08월,2.0
서울,중랑구,2018년,09월,0.0
서울,중랑구,2018년,10월,0.0
서울,중랑구,2018년,11월,2.0
서울,중랑구,2018년,12월,0.0
서울,중랑구,2019년,01월,0.0
서울,중랑구,2019년,02월,0.0
서울,중랑구,2019년,03월,2.0
서울,중랑구,2019년,04월,1.0
서울,중랑구,2019년,05월,1.0
서울,중랑구,2019년,06월,2.0
서울,중랑구,2019년,07월,1.0
서울,중랑구,2019년,08월,1.0
서울,중랑구,2019년,09월,3.0
서울,중랑구,2019년,10월,1.0
서울,중랑구,2019년,11월,0.0
서울,중랑구,2019년,12월,0.0
서울,중랑구,2020년,01월,1.0
서울,중랑구,2020년,02월,0.0
서울,중랑구,2020년,03월,0.0
서울,중랑구,2020년,04월,2.0
서울,중랑구,2020년,05월,0.0
서울,중랑구,2020년,06월,0.0
서울,중랑구,2020년,07월,0.0
서울,중랑구,2020년,08월,0.0
서울,중랑구,2020년,09월,0.0
서울,중랑구,2020년,10월,0.0
서울,중랑구,2020년,11월,1.0
서울,중랑구,2020년,12월,0.0
서울,노원구,2018년,01월,2.0
서울,노원구,2018년,02월,1.0
서울,노원구,2018년,03월,1.0
서울,노원구,2018년,04월,1.0
서울,노원구,2018년,05월,0.0
서울,노원구,2018년,06월,4.0
서울,노원구,2018년,07월,2.0
서울,노원구,2018년,08월,1.0
서울,노원구,2018년,09월,0.0
