시도,시군구,연도,월,부상자수
서울,동대문구,2020년,10월,163.0
서울,동대문구,2020년,11월,167.0
서울,동대문구,2020년,12월,132.0
서울,성북구,2018년,01월,194.0
서울,성북구,2018년,02월,168.0
서울,성북구,2018년,03월,160.0
서울,성북구,2018년,04월,178.0
서울,성북구,2018년,05월,210.0
서울,성북구,2018년,06월,152.0
서울,성북구,2018년,07월,142.0
서울,성북구,2018년,08월,161.0
서울,성북구,2018년,09월,152.0
서울,성북구,2018년,10월,162.0
서울,성북구,2018년,11월,128.0
서울,성북구,2018년,12월,173.0
서울,성북구,2019년,01월,151.0
서울,성북구,2019년,02월,135.0
서울,성북구,2019년,03월,181.0
서울,성북구,2019년,04월,168.0
서울,성북구,2019년,05월,157.0
서울,성북구,2019년,06월,145.0
서울,성북구,2019년,07월,173.0
서울,성북구,2019년,08월,177.0
서울,성북구,2019년,09월,161.0
서울,성북구,2019년,10월,197.0
서울,성북구,2019년,11월,178.0
서울,성북구,2019년,12월,184.0
서울,성북구,2020년,01월,134.0
서울,성북구,2020년,02월,159.0
서울,성북구,2020년,03월,127.0
서울,성북구,2020년,04월,105.0
서울,성북구,2020년,05월,147.0
서울,성북구,2020년,06월,140.0
서울,성북구,2020년,07월,151.0
서울,성북구,2020년,08월,90.0
서울,성북구,2020년,09월,132.0
서울,성북구,2020년,10월,151.0
서울,성북구,2020년,11월,146.0
서울,성북구,2020년,12월,140.0
서울,도봉구,2018년,01월,84.0
서울,도봉구,2018년,02월,76.0
서울,도봉구,2018년,03월,59.0
서울,도봉구,2018년,04월,84.0
서울,도봉구,2018년,05월,102.0
서울,도봉구,2018년,06월,90.0
서울,도봉구,2018년,07월,93.0
서울,도봉구,2018년,08월,102.0
서울,도봉구,2018년,09월,90.0
서울,도봉구,2018년,10월,109.0
서울,도봉구,2018년,11월,89.0
서울,도봉구,2018년,12월,83.0
서울,도봉구,2019년,01월,100.0
서울,도봉구,2019년,02월,60.0
서울,도봉구,2019년,03월,100.0
서울,도봉구,2019년,04월,95.0
서울,도봉구,2019년,05월,113.0
서울,도봉구,2019년,06월,113.0
서울,도봉구,2019년,07월,76.0
서울,도봉구,2019년,08월,107.0
서울,도봉구,2019년,09월,93.0
서울,도봉구,2019년,10월,110.0
서울,도봉구,2019년,11월,100.0
서울,도봉구,2019년,12월,96.0
서울,도봉구,2020년,01월,84.0
서울,도봉구,2020년,02월,93.0
서울,도봉구,2020년,03월,59.0
서울,도봉구,2020년,04월,74.0
서울,도봉구,2020년,05월,94.0
서울,도봉구,2020년,06월,83.0
서울,도봉구,2020년,07월,122.0
서울,도봉구,2020년,08월,69.0
서울,도봉구,2020년,09월,63.0
서울,도봉구,2020년,10월,101.0
서울,도봉구,2020년,11월,74.0
서울,도봉구,2020년,12월,74.0
서울,은평구,2018년,01월,106.0
서울,은평구,2018년,02월,146.0
서울,은평구,2018년,03월,104.0
서울,은평구,2018년,04월,119.0
서울,은평구,2018년,05월,123.0
서울,은평구,2018년,06월,133.0
서울,은평구,2018년,07월,138.0
서울,은평구,2018년,08월,149.0
서울,은평구,2018년,09월,135.0
서울,은평구,2018년,10월,136.0
서울,은평구,2018년,11월,126.0
서울,은평구,2018년,12월,165.0
서울,은평구,2019년,01월,115.0
서울,은평구,2019년,02월,94.0
서울,은평구,2019년,03월,122.0
서울,은평구,2019년,04월,108.0
서울,은평구,2019년,05월,134.0
서울,은평구,2019년,06월,113.0
서울,은평구,2019년,07월,105.0
서울,은평구,2019년,08월,115.0
서울,은평구,2019년,09월,141.0
서울,은평구,2019년,10월,139.0
서울,은평구,2019년,11월,139.0
서울,은평구,2019년,12월,139.0
서울,은평구,2020년,01월,127.0
서울,은평구,2020년,02월,117.0
서울,은평구,2020년,03월,100.0
서울,은평구,2020년,04월,110.0
서울,은평구,2020년,05월,140.0
서울,은평구,2020년,06월,99.0
서울,은평구,2020년,07월,112.0
서울,은평구,2020년,08월,124.0
서울,은평구,2020년,09월,154.0
서울,은평구,2020년,10월,135.0
서울,은평구,2020년,11월,106.0
서울,은평구,2020년,12월,91.0
서울,서대문구,2018년,01월,106.0
서울,서대문구,2018년,02월,110.0
서울,서대문구,2018년,03월,101.0
서울,서대문구,2018년,04월,137.0
서울,서대문구,2018년,05월,120.0
서울,서대문구,2018년,06월,106.0
서울,서대문구,2018년,07월,114.0
서울,서대문구,2018년,08월,109.0
서울,서대문구,2018년,09월,118.0
서울,서대문구,2018년,10월,141.0
서울,서대문구,2018년,11월,123.0
서울,서대문구,2018년,12월,118.0
서울,서대문구,2019년,01월,108.0
서울,서대문구,2019년,02월,92.0
서울,서대문구,2019년,03월,83.0
서울,서대문구,2019년,04월,105.0
서울,서대문구,2019년,05월,159.0
서울,서대문구,2019년,06월,173.0
서울,서대문구,2019년,07월,146.0
서울,서대문구,2019년,08월,123.0
서울,서대문구,2019년,09월,178.0
서울,서대문구,2019년,10월,189.0
서울,서대문구,2019년,11월,139.0
서울,서대문구,2019년,12월,114.0
서울,서대문구,2020년,01월,138.0
서울,서대문구,2020년,02월,93.0
서울,서대문구,2020년,03월,98.0
서울,서대문구,2020년,04월,76.0
서울,서대문구,2020년,05월,98.0
서울,서대문구,2020년,06월,112.0
서울,서대문구,2020년,07월,144.0
서울,서대문구,2020년,08월,101.0
서울,서대문구,2020년,09월,88.0
서울,서대문구,2020년,10월,110.0
서울,서대문구,2020년,11월,107.0
서울,서대문구,2020년,12월,91.0
서울,마포구,2018년,01월,229.0
서울,마포구,2018년,02월,217.0
서울,마포구,2018년,03월,178.0
서울,마포구,2018년,04월,181.0
서울,마포구,2018년,05월,193.0
서울,마포구,2018년,06월,215.0
서울,마포구,2018년,07월,228.0
서울,마포구,2018년,08월,185.0
서울,마포구,2018년,09월,227.0
서울,마포구,2018년,10월,202.0
서울,마포구,2018년,11월,203.0
서울,마포구,2018년,12월,171.0
서울,마포구,2019년,01월,160.0
서울,마포구,2019년,02월,160.0
서울,마포구,2019년,03월,150.0
서울,마포구,2019년,04월,142.0
서울,마포구,2019년,05월,193.0
서울,마포구,2019년,06월,182.0
서울,마포구,2019년,07월,224.0
서울,마포구,2019년,08월,206.0
서울,마포구,2019년,09월,175.0
서울,마포구,2019년,10월,189.0
서울,마포구,2019년,11월,175.0
서울,마포구,2019년,12월,167.0
서울,마포구,2020년,01월,129.0
서울,마포구,2020년,02월,164.0
서울,마포구,2020년,03월,155.0
서울,마포구,2020년,04월,140.0
서울,마포구,2020년,05월,191.0
서울,마포구,2020년,06월,173.0
서울,마포구,2020년,07월,138.0
서울,마포구,2020년,08월,159.0
서울,마포구,2020년,09월,151.0
서울,마포구,2020년,10월,134.0
